number,value,state,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_avg_val_loss,user_attrs_best_epoch,user_attrs_best_epoch_fold_val_accs,user_attrs_best_epoch_fold_val_losses,user_attrs_per_fold_best_val_loss,user_attrs_pruned_epoch
0,0.559546420239222,COMPLETE,3.0566442012786865,0.31777286529541016,1.4747635466128636e-05,0.000991317892040907,0.47919154167175293,2.2106321211477505e-06,0.559546420239222,7.0,"[0.8333333333333334, 0.8888888888888888, 0.6842105263157895, 0.8947368421052632, 0.6842105263157895]","[0.2381406883057985, 0.4253099472181121, 0.7636167572976243, 0.7106736140666551, 0.6599910943079198]","[0.1682617830617039, 0.3892412281520655, 0.4875829317329051, 0.4981216856934847, 0.2953420667087186]",
1,0.30010627998572464,COMPLETE,2.957947015762329,0.4263014495372772,0.0006925640952183805,8.699533120661045e-05,0.2798042893409729,0.00015690731607858975,0.30010627998572464,7.0,"[0.8333333333333334, 0.9444444444444444, 0.9473684210526315, 0.8947368421052632, 0.7894736842105263]","[0.22686136033240067, 0.14556461924379013, 0.1710785078197851, 0.6423307249332012, 0.31469618759944606]","[0.12394716818423825, 0.13064421608734575, 0.1710785078197851, 0.3777276833272098, 0.24986911285209076]",
2,0.27914679416298627,COMPLETE,2.44448184967041,0.23127681016921997,0.0062093983914917154,4.479045620338639e-05,0.3792548179626465,1.315339620157207e-05,0.27914679416298627,9.0,"[0.8888888888888888, 0.9444444444444444, 0.9473684210526315, 0.8421052631578947, 0.8421052631578947]","[0.3354192317631007, 0.1505901248047176, 0.23720410706604717, 0.5017043545438499, 0.17081615263721592]","[0.29510702562331265, 0.13711592430589942, 0.1654873548409805, 0.3184260920097586, 0.17081615263721592]",
3,0.43724560578173194,COMPLETE,3.540858268737793,0.5243086814880371,0.0002936011385066793,0.00033267178422022325,0.1797151416540146,0.0009303573066165558,0.43724560578173194,18.0,"[0.9444444444444444, 0.7777777777777778, 0.9473684210526315, 0.8947368421052632, 0.9473684210526315]","[0.09588098567490988, 0.5890783292733006, 0.21230551094493416, 1.0289432163125942, 0.2600199867029211]","[0.07696475710159234, 0.18144121078263867, 0.14684767446767696, 0.33225786861638834, 0.12705254314967399]",
4,0.35610495970074496,COMPLETE,3.8488073348999023,0.4583216607570648,4.781119357995064e-05,0.00024863483576594654,0.31048768758773804,4.440884758794751e-05,0.35610495970074496,3.0,"[0.8333333333333334, 0.8888888888888888, 0.7894736842105263, 0.7894736842105263, 0.7368421052631579]","[0.38312907809449825, 0.3390684978518771, 0.2788482438344018, 0.40931447419088246, 0.37016450453206506]","[0.15268902773318083, 0.27591045240235856, 0.16197370927736637, 0.27016333228982004, 0.12185774201756547]",
5,0.22549924572712268,COMPLETE,2.1365861892700195,0.19820380210876465,0.0009976356838291762,5.22465277102519e-05,0.5110095739364624,0.00046962272683261693,0.22549924572712268,9.0,"[0.9444444444444444, 0.8333333333333334, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.15525244122202114, 0.2459543928208916, 0.19234526045237257, 0.30003780921142126, 0.23390632492890673]","[0.12317155801839716, 0.14032899028436555, 0.19091047162812988, 0.30003780921142126, 0.20914404124242106]",
6,0.3016049766113834,COMPLETE,2.64847993850708,0.39067938923835754,0.0035679124132316662,0.00015625952525555247,0.21036328375339508,4.646292910701226e-06,0.3016049766113834,7.0,"[0.8888888888888888, 0.9444444444444444, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632]","[0.23065963211582308, 0.2536881568757489, 0.39811413161618997, 0.45525617900767207, 0.17030678344148278]","[0.1456743715923873, 0.2536881568757489, 0.21440200273656573, 0.33523613779877787, 0.17030678344148278]",
7,0.6820967526445939,PRUNED,3.3661954402923584,0.25235727429389954,7.495976926794284e-05,0.00048135660146828333,0.4111112356185913,4.9328883780777496e-05,,,,,,7.0
8,0.4066727247104078,PRUNED,2.859779119491577,0.15918207168579102,0.00017386385516597177,0.0005316903882900594,0.2449529618024826,1.0205524491388703e-05,,,,,,7.0
9,0.32965691801195307,COMPLETE,3.154881000518799,0.49752652645111084,0.008675912420029902,0.00011645703318973486,0.4460482597351074,0.0019302231014754578,0.32965691801195307,6.0,"[0.8333333333333334, 0.8888888888888888, 0.8421052631578947, 0.8947368421052632, 0.9473684210526315]","[0.2730438996494134, 0.2820604937756646, 0.6551747092325669, 0.2812679072475039, 0.15673758015461653]","[0.2305017973916258, 0.2820604937756646, 0.2107534816852996, 0.2812679072475039, 0.15673758015461653]",
