seed,split,best val loss,test acc
0,1,0.064,0.9444
0,2,0.2411,0.7895
0,3,0.23,0.9474
0,4,0.2841,1
0,5,0.2279,0.8889
1,1,0.4744,0.7778
1,2,0.1438,0.9474
1,3,0.3538,0.9474
1,4,0.3171,0.9474
1,5,0.216,0.8333
2,1,0.2439,0.8889
2,2,0.1505,0.8421
2,3,0.2404,0.9474
2,4,0.4447,0.8947
2,5,0.2687,0.8889
3,1,0.1136,0.9444
3,2,0.2554,0.7368
3,3,0.24,0.8947
3,4,0.3147,0.9474
3,5,0.1879,0.8333
4,1,0.1115,0.8889
4,2,0.324,0.8947
4,3,0.1458,0.7895
4,4,0.2179,0.9474
4,5,0.1709,0.9444
5,1,0.0408,0.8889
5,2,0.281,0.7895
5,3,0.1018,0.8947
5,4,0.2396,1
5,5,0.2354,0.9444
6,1,0.1886,0.8333
6,2,0.2955,0.8421
6,3,0.2723,0.9474
6,4,0.2981,0.9474
6,5,0.2105,0.8889
7,1,0.0101,0.9444
7,2,0.3079,0.8421
7,3,0.2282,0.8421
7,4,0.4016,0.8947
7,5,0.326,0.7222
8,1,0.1526,0.9444
8,2,0.2506,0.7895
8,3,0.2557,0.8947
8,4,0.2684,0.8421
8,5,0.2443,0.8333
9,1,0.3052,0.8333
9,2,0.2326,0.7895
9,3,0.2429,0.9474
9,4,0.3043,0.8421
9,5,0.1383,0.8889
